"Title","Size","Aisle","Price"
"Ballard Road Pinot Noir","750 ml.","Wine-16A","10.99"
"Oronta Rose","750 ml.","Wine-19A","8.99"
"Antiche Terre Venete Vino Rosso Amore Assoluto","750 ml.","Wine-19A","9.99"
"Menage A Trois Red","750 ml.","Wine-16A","9.99"
"Joel Gott Blend 815 Cabernet Sauvignon","750 ml.","Wine-16A","13.99"
"Mark West Pinot Noir","750 ml.","Wine-16A","8.49"
"Jules Larose Blanc de Blancs, NV","750 ml.","Wine-18A","8.99"
"Bota Box Nighthawk Black Red Blend","3 liter","Wine-18A","15.99"
"Cape Originals Shiraz","750 ml.","Wine-19A","6.99"
"Bota Box Cabernet Sauvignon","3 liter","Wine-18A","15.99"
"Mapreco Vinho Verde Rose","750 ml.","Wine-19A","7.99"
"Ruby Red Rose Grapefruit","750 ml.","19A","10.49"
"Bixby Creek Bridge Bixby Creek Bridge Napa Valley Chardonnay","750 ml.","Wine Shop","12.99"
"Silence Luberon Rose","750 ml.","19A","9.99"
"Barefoot Pinot Grigio","1.5 liter","Wine-16A","8.99"
"Carnivor Cabernet Sauvignon","750 ml.","Wine-16A","8.49"
"Campo de Piedra Malbec Gran Seleccion","750 ml.","Wine-17A","9.99"
"Ego El Goru Red Blend","750 ml.","Wine-19A","9.99"
"Black Box Wines Black Box Pinot Noir","3 liter","Wine-18A","16.99"
"Bixby Creek Bridge Napa Valley Cabernet Sauvignon","750 ml.","Wine-16A","15.99"
"Hitch Edna Valley Pinot Noir","750 ml.","Wine-16A","14.99"
"Bogle Merlot","750 ml.","Wine-16A","7.49"
"Robert Mondavi Private Selection Cabernet Sauvignon Red Wine","750 ml.","Wine-16A","7.49"
"Woodbridge Cabernet Sauvignon","1.5 liter","Wine-16A","9.99"
"Black Box Wines Black Box Pinot Grigio","3 liter","Wine-18A","16.99"
"La Marca Prosecco, NV","187 ml.","Wine-18A","5.49"
"Korbel Korbel Brut, NV","750 ml.","Wine-18A","10.99"
"Vila Real Douro Reserve","750 ml.","Wine-19A","7.99"
"19 Crimes Cabernet Sauvignon","750 ml.","Wine-19A","10.99"
"Black Box Wines Black Box Sauvignon Blanc","3 liter","Wine-18A","16.99"
"Duckhorn Decoy Cabernet Sauvignon","750 ml.","Wine-16A","18.99"
"Josh Cellars Sauvignon Blanc","750 ml.","Wine-16A","11.99"
"Valiant Red Blend","750 ml.","Wine-16A","6.99"
"Kris Pinot Grigio","750 ml.","Wine-19A","11.99"
"Yellow Tail Chardonnay","1.5 liter","Wine-19A","8.99"
"Chateau Ste Michelle Riesling","750 ml.","Wine-16A","7.49"
"Gnarly Head 1924 Double Black Red Blend","750 ml.","Wine-16A","7.99"
"Bota Box Chardonnay","3 liter","Wine-18A","15.99"
"19 Crimes Red","750 ml.","Wine-19A","9.99"
"Starborough Sauvignon Blanc","750 ml.","Wine-19A","8.99"
"Bixby Creek Bridge Napa Red Blend","750 ml.","Wine-16A","12.99"
"Chanson Sparkling Royale Brut Rose, NV","750 ml.","Wine-18A","10.99"
"Mionetto Prosecco Brut, NV","750 ml.","Wine-18A","12.99"
"Il Casato Pinot Grigio Valdadige","750 ml.","Wine-19A","9.99"
"Chateau Haut Gantelais","750 ml.","19A","9.99"
"Wohler Bridge Russian River Chardonnay","750 ml.","Wine Shop","15.99"
"Apothic Crush","750 ml.","Wine-16A","8.99"
"Dark Horse Cabernet Sauvignon","750 ml.","Wine-16A","6.49"
"Parini Prosecco Brut, NV","187 ml.","Wine-18A","3.99"
"Simi Chardonnay","750 ml.","Wine Shop","10.99"
"Cupcake Sauvignon Blanc","750 ml.","Wine-19A","7.49"
"Confidencial Reserve Rose","750 ml.","Wine-19A","9.99"
"Bixby Creek Bridge Napa Sauvignon Blanc","750 ml.","Wine-16A","10.99"
"Hitch Edna Valley Chardonnay","750 ml.","Wine Shop","12.99"
"Chateau Terre Blanque","750 ml.","19A","9.99"
"Aquarelle Aquarelle Rose of Grenache","750 ml.","Wine-16A","12.99"
"Alumni Willamette Valley Pinot Noir","750 ml.","Wine-16A","16.99"
"Oregon Route Willamette Valley Pinot Noir","750 ml.","Wine-16A","14.99"
"Zaccagnini Montepulciano d'Abruzzo Riserva","750 ml.","Wine-19A","10.99"
"Noble Vines Noble Vines 337 Cabernet Sauvignon","750 ml.","Wine-16A","9.49"
"La Vieille Ferme Rose","750 ml.","19A","6.99"
"La Crema Sonoma Coast Chardonnay","750 ml.","Wine Shop","13.99"
"Whitehaven Marlborough Sauvignon Blanc","750 ml.","Wine-19A","13.99"
"Ruffino Prosecco Prosecco DOC Italian White Sparkling Wine, NV","750 ml.","Wine-18A","10.99"
"Ballard Road Pinot Gris","750 ml.","Wine-16A","9.99"
"Beringer Main & Vine White Zinfandel","1.5 liter","Wine-16A","8.99"
"Wohler Bridge Russian River Pinot Noir","750 ml.","Wine-16A","15.99"
"Chateau Ste Michelle Chardonnay","750 ml.","Wine-16A","7.99"
"Roscato Rosso Dolce, NV","750 ml.","Wine-19A","9.49"
"Black Box Wines Black Box Malbec","3 liter","Wine-18A","16.99"
"Josh Cellars Pinot Noir","750 ml.","Wine-16A","14.49"
"Gnarly Head OV Zinfandel","750 ml.","Wine-16A","7.49"
"Kono Sauvignon Blanc","750 ml.","Wine-19A","11.99"
"Menage A Trois Silk Red Blend","750 ml.","Wine-16A","9.49"
"Bodegas  Conde Bel Rioja Crianza","750 ml.","Wine-19A","11.99"
"Bartenura Moscato","750 ml.","Wine-18A","10.99"
"Barefoot Pinot Grigio","750 ml.","Wine-16A","4.99"
"19 Crimes The Uprising rum Barrel Aged Red","750 ml.","Wine-19A","8.49"
"Celliers des Dauphine Cotes Du Rhone Reserve","750 ml.","19A","14.99"
"Famiglie Famiglie Rose IGP","750 ml.","Wine-19A","9.99"
"Parasol IGP Mediterranee Rose","750 ml.","19A","8.99"
"Bon Vivant Brut, NV","750 ml.","Wine-18A","19.99"
"Casa Santos Lima Colossal Reserva","750 ml.","Wine-19A","9.99"
"Torraiolo Chianti Classico Riserva","750 ml.","Wine-19A","14.99"
"Bogle Old Vines Zinfandel","750 ml.","Wine-16A","8.49"
"Chateau Mont Roc Blanc","750 ml.","19A","9.99"
"Barefoot Moscato","1.5 liter","Wine-16A","8.99"
"Gather Willamette Valley Pinot Noir","750 ml.","Wine-16A","17.99"
"Freixenet Cordon Negro Brut, NV","750 ml.","Wine-18A","9.99"
"Apothic Dark","750 ml.","Wine-16A","7.99"
"Barefoot Sauvignon Blanc","1.5 liter","Wine-16A","8.99"
"Barefoot Chardonnay","1.5 liter","Wine Shop","8.99"
"Masottina Brut Prosecco","750 ml.","Wine-18A","12.99"
"Bota Box Pinot Noir","3 liter","Wine-18A","15.99"
"Barefoot Moscato","750 ml.","Wine-16A","4.99"
"Casal Garcia Vinho Verde","750 ml.","Wine-19A","6.99"
"JP Azeitao Syrah Rose","750 ml.","Wine-19A","7.99"
"Black Box Wines Black Box Merlot","3 liter","Wine-18A","16.99"
"The Homestead Collection Chardonnay","750 ml.","Wine-16A","11.49"
"Cavit Pinot Grigio","750 ml.","Wine-19A","6.49"
"Toro Centenario Malbec Rose","750 ml.","Wine-17A","7.99"
"Joel Gott Sauvignon Blanc","750 ml.","Wine-16A","9.99"
"Fontella Chianti","750 ml.","Wine-19A","8.79"
"Bota Box Malbec","3 liter","Wine-18A","15.99"
"Josh Cellars Legacy Red Blend","750 ml.","Wine-16A","12.99"
"Apothic White","750 ml.","Wine-16A","9.49"
"Louis Jadot Beaujolais Villages","750 ml.","19A","9.49"
"Butter Chardonnay","750 ml.","Wine Shop","14.99"
"Sobilane Red Blend","750 ml.","19A","11.99"
"Chanson Sparkling Royale Brut, NV","750 ml.","Wine-18A","10.99"
"Barefoot Riesling","1.5 liter","Wine-16A","8.99"
"Santons de Provence Rose","750 ml.","19A","11.99"
"Legrantrio GSM Old Vines","750 ml.","19A","9.99"
"Grimont","750 ml.","19A","9.99"
"Pac Standard Chronicle Paso Robles Cabernet Sauvignon","750 ml.","Wine-16A","14.99"
"Kendall-Jackson Grand Reserve Chardonnay","750 ml.","Wine Shop","13.99"
"Riondo Spago Nero Prosecco, NV","750 ml.","Wine-18A","11.49"
"Veuve Clicquot Veuve Clicquot Yellow Label Brut, NV","750 ml.","Wine-18A","47.99"
"Sandara Premium Sangria","750 ml.","Wine-19A","6.00"
"Relax Riesling","750 ml.","Wine-19A","8.49"
"Kendall-Jackson Vintner's Reserve Sauvignon Blanc","750 ml.","Wine-16A","9.99"
"Andre Andre Brut, NV","750 ml.","Wine-18A","6.99"
"Famiglia Castellani Collesano Chianti Classico Riserva","750 ml.","Wine-19A","14.99"
"19 Crimes The Banished Red Blend","750 ml.","Wine-19A","8.49"
"Chateau Gressina Cuvee Pierre Blanche","750 ml.","19A","9.99"
"Beringer Main & Vine White Zinfandel","750 ml.","Wine-16A","4.99"
"Cave de Pomerol Picpoul","750 ml.","19A","7.99"
"Coppola Diamond Claret","750 ml.","Wine-16A","12.99"
"Yellow Tail Pinot Grigio","1.5 liter","Wine-19A","8.99"
"Dark Horse Chardonnay","750 ml.","Wine Shop","6.49"
"Woodbridge Pinot Grigio","1.5 liter","Wine-16A","10.49"
"Cupcake Chardonnay","750 ml.","Wine Shop","7.49"
"Skyquake Riesling","750 ml.","Wine-17A","11.99"
"Seaglass Sauvignon Blanc","750 ml.","Wine-16A","9.99"
"Dr Loosen L Riesling","750 ml.","Wine-19A","10.99"
"The Path Three Thieves Chardonnay","750 ml.","Wine Shop","8.99"
"Woodbridge Sauvignon Blanc","1.5 liter","Wine-16A","10.49"
"Mirassou Pinot Noir","750 ml.","Wine-16A","7.49"
"Louis Jadot Couvent Des Jacobins Pinot Noir Louis Jadot","750 ml.","19A","17.99"
"Charles Smith ViNO Rosso","750 ml.","Wine-16A","9.99"
"Concha y Toro Frontera Cabernet Merlot","1.5 liter","Wine-17A","7.29"
"Stationmaster Alexander Valley Cabernet Sauvignon","750 ml.","Wine-16A","19.99"
"Yellow Tail Cabernet Sauvignon","1.5 liter","Wine-19A","8.99"
"Seaside Cellars Vinho Verde","750 ml.","Wine-19A","8.99"
"Wente Morning Fog Chardonnay","750 ml.","Wine Shop","11.49"
"Green Rows Willamette Valley Rose of Pinot Noir","750 ml.","Wine-16A","15.99"
"Ferrari-Carano Ferrari Carano Merlot","750 ml.","Wine-16A","19.99"
"Barefoot Sauvignon Blanc","750 ml.","Wine-16A","4.99"
"Chateau St Jean Chateau St. Jean California Cabernet Sauvignon","750 ml.","Wine-16A","9.49"
"Erath Pinot Noir","750 ml.","Wine-16A","15.49"
"Layer Cake Malbec","750 ml.","Wine-17A","13.99"
"Barefoot White Zinfandel","750 ml.","Wine-16A","4.99"
"Ferrari-Carano Ferrari Carano Sonoma Chardonnay","750 ml.","Wine Shop","20.99"
"Marchesi di Barolo Gavi DOCG","750 ml.","Wine-19A","20.99"
"Little Penguin Shiraz","750 ml.","Wine-19A","5.99"
"Mirassou Cabernet Sauvignon","750 ml.","Wine-16A","8.49"
"Caymus Napa Cabernet Sauvignon","750 ml.","Wine-16A","79.99"
"Yellow Tail Shiraz","750 ml.","Wine-19A","5.49"
"Cupcake Pinot Grigio","750 ml.","Wine-19A","7.49"
"Chrysalis S P White","750 ml.","Wine-17A","16.99"
"Cupcake Red Velvet","750 ml.","Wine-16A","7.99"
"Sofia Brut Rose 4 Pack","748 ml.","Wine-18A","16.99"
"Villa Jolanda Moscato & Peach, NV","750 ml.","Wine-18A","9.49"
"Naked Mountain Cabernet Franc","750 ml.","Wine-17A","19.99"
"Villa Jolanda Moscato & Strawberry, NV","750 ml.","Wine-18A","9.49"
"Barefoot Cabernet Sauvignon","1.5 liter","Wine-16A","8.99"
"Yellow Tail Shiraz Cabernet Sauvignon","1.5 liter","Wine-19A","8.99"
"King Estate Pinot Noir","750 ml.","Wine-16A","23.99"
"Barefoot Merlot","750 ml.","Wine-16A","4.99"
"Jefferson Petit Verdot","750 ml.","Wine-17A","23.99"
"Ronan By Clinet Rouge","750 ml.","19A","10.99"
"Emiliana Natura Chardonnay","750 ml.","Wine-17A","9.49"
"Santini Dry Marsala","1 liter","Wine-17A","8.49"
"Santini Sweet Marsala","1 liter","Wine-17A","8.49"
"Cinzano Rosso Sweet Vermouth","750 ml.","Wine-17A","8.49"
"Kunde Cabernet Sauvignon","750 ml.","Wine-16A","23.99"
"Cinzano Extra Dry Vermouth","750 ml.","Wine-17A","8.49"
"Concha y Toro Frontera Cabernet Sauvignon Merlot 4 Pack","748 ml.","Wine-17A","7.49"
"Frey Natural Red ORGANIC","750 ml.","Wine Shop","9.49"
"Catena Malbec","750 ml.","Wine-17A","14.79"
"Franzia White Zinfandel","5 liter","Wine-18A","15.99"
"Sandeman 's Ruby Port","750 ml.","Wine-17A","14.99"
"Franzia Chardonnay","5 liter","Wine-18A","15.99"
"Schmitt Sohne Blue Riesling QBA","750 ml.","Wine-19A","7.99"
"Liberty Creek Chardonnay","1.5 liter","Wine Shop","6.99"
"Sebastiani Sonoma Cabernet Sauvignon","750 ml.","Wine-16A","12.99"
"Montaud Provence Rose","750 ml.","19A","11.99"
"Sutter Home White Zinfandel","1.5 liter","Wine-16A","8.49"
"Sutter Home Chardonnay","1.5 liter","Wine Shop","8.99"
"Sterling Vintner's Cabernet Sauvignon","750 ml.","Wine-16A","8.49"
"Argyle Willamette Pinot Noir","750 ml.","Wine-16A","22.99"
"Jacob's Creek Chardonnay","750 ml.","Wine-19A","5.99"
"Sebastiani Chardonnay","750 ml.","Wine Shop","10.49"
"Mirassou Pinot Grigio","750 ml.","Wine-16A","8.49"
"Barboursville Wines Barboursville Chardonnay","750 ml.","Wine-17A","13.49"
"Troublemaker Red Blend","750 ml.","Wine-16A","14.99"
"Markham Merlot","750 ml.","Wine-16A","19.99"
"Vendange Merlot Tetra","500 ml.","Wine-16A","3.99"
"Vendange Pinot Grigio Tetra","500 ml.","Wine-16A","3.99"
"Vendange Chardonnay Tetra","500 ml.","Wine Shop","3.99"
"Pacific Rim Sweet Riesling","750 ml.","Wine-16A","8.49"
"Bergun Rose","750 ml.","19A","9.99"
"Aladeres Corbieres Vielles Vignes","750 ml.","19A","11.99"
"Ruffino Chianti","1.5 liter","Wine-19A","15.99"
"Cavit Pinot Grigio","187 ml.","Wine-19A","2.49"
"Cavit Pinot Noir","187 ml.","Wine-19A","2.49"
"Ribebon","750 ml.","19A","11.99"
"Fox Run Traminette","750 ml.","Wine-17A","11.99"
"Mark West Black Pinot Noir","750 ml.","Wine-16A","10.99"
"Layer Cake Primitivo","750 ml.","Wine-19A","14.49"
"La Crema Sonoma Coast Pinot Noir","750 ml.","Wine-16A","17.99"
"Koenig Pinot Blanc Vin D'Alsace","750 ml.","19A","10.99"
"Hakutsuru Sake","720 ml.","Wine-18A","10.99"
"El Coto Rioja","750 ml.","Wine-19A","11.99"
"Carr Cabernet Sauvignon","750 ml.","Wine-16A","19.99"
"Raymond R Collection Chardonnay","750 ml.","Wine Shop","9.49"
"Paul D Gruner Veltliner","1 liter","Wine-19A","9.99"
"Raymond Napa Reserve Chardonnay","750 ml.","Wine Shop","18.99"
"Borsao Tres Picos Garnacha","750 ml.","Wine-19A","15.99"
"D'Aigueville Cotes Du Rhone Rouge","750 ml.","19A","11.99"
"D'Aigueville Cotes Du Rhone Blanc","750 ml.","19A","11.99"
"Bogle Pinot Noir","750 ml.","Wine-16A","9.49"
"Ciconia Reserva Red Blend","750 ml.","Wine-19A","11.99"
"Dr Frank Dry Riesling","750 ml.","Wine-17A","15.99"
"Rex Hill Willamette Pinot Noir","750 ml.","Wine-16A","29.99"
"Sutter Home White Zinfandel","750 ml.","Wine-16A","4.99"
"DaVinci Chianti","750 ml.","Wine-19A","10.99"
"Lindemans Lindeman's Bin 65 Chardonnay","750 ml.","Wine-19A","4.99"
"Cantina Gabriele Pinot Grigio","750 ml.","Wine-18A","12.99"
"Los Vascos Sauvignon Blanc","750 ml.","Wine-17A","9.49"
"Cristalino Brut, NV","750 ml.","Wine-18A","8.79"
"Beringer Main & Vine White Merlot","1.5 liter","Wine-16A","9.49"
"Marques de Riscal Rueda Blanco","750 ml.","Wine-19A","9.99"
"Alois Lageder Riff Pinot Grigio","750 ml.","Wine-19A","9.99"
"Vecchio Marone","750 ml.","Wine-19A","11.99"
"Chateau Ste Michelle Dry Riesling","750 ml.","Wine-16A","9.49"
"MacMurray Estate Central Coast Pinot Noir","750 ml.","Wine-16A","16.99"
"O'Reilly's White Chocolate","750 ml.","Wine-18A","9.99"
"Tour St. Georges","750 ml.","19A","9.99"
"Hugl Gruner Veltliner","1 liter","Wine-19A","10.49"
"Horton Wines Horton Cabernet Franc","750 ml.","Wine-17A","12.99"
"A To Z A to Z Rose","750 ml.","Wine-16A","14.99"
"Horton Viognier","750 ml.","Wine-17A","14.99"
"Yellow Tail Super Crisp Chardonnay","750 ml.","Wine-19A","5.49"
"Yellow Tail Sauvignon Blanc","1.5 liter","Wine-19A","8.99"
"Warre's Port Warre's Late Bottled Vintage Port","750 ml.","Wine-17A","29.99"
"Yellow Tail Super Crisp Chardonnay","1.5 liter","Wine-19A","8.99"
"Ziobaffa Toscano","750 ml.","Wine-19A","10.99"
"Cavit Merlot","187 ml.","Wine-19A","2.49"
"St. Cosme Cotes Du Rhone","750 ml.","19A","13.99"
"Craggy Range Sauvignon Blanc","750 ml.","Wine-19A","18.99"
"14 Hands Stampede","750 ml.","Wine-16A","9.49"
"Belle Cure Blanc","750 ml.","19A","9.99"
"El Coto Rioja Bianco","750 ml.","Wine-19A","11.49"
"Hess Select North Coast Cabernet Sauvignon","750 ml.","Wine-16A","13.99"
"Antinori Santa Cristina Pinot Grigio","750 ml.","Wine-19A","11.99"
"Louis Jadot Macon Villages","750 ml.","19A","12.99"
"Benoit Girard Pinot Noir Rose Sancerre","750 ml.","19A","19.99"
"Villa Jolanda Passion Fruit Moscato","750 ml.","Wine-18A","9.49"
"Belle Glos Las Alturas Pinot Noir","750 ml.","Wine-16A","49.99"
"Martinon","750 ml.","19A","10.99"
"DaVinci Pinot Grigio","750 ml.","Wine-19A","10.99"
"Erben Spatlese","750 ml.","Wine-19A","5.49"
"Kikkoman Plum Wine","750 ml.","Wine-18A","8.49"
"Ozeki Sake Dry","750 ml.","Wine-18A","7.99"
"Sheffield Dry Sherry","750 ml.","Wine-17A","6.49"
"Cantina Gabriele Vino Sweet Red Italian Kosher","750 ml.","Wine-18A","9.99"
"Gekkeikan Sake","1.5 liter","Wine-18A","12.79"
"Ozeki Sake Dry Frosted","180 ml.","Wine-18A","3.99"
"Risata Moscato D'Asti","750 ml.","Wine-18A","11.99"
"Duckhorn Decoy Chardonnay","750 ml.","Wine Shop","17.99"
"Woop Woop Shiraz","750 ml.","Wine-19A","11.99"
"McManis Petite Sirah","750 ml.","Wine-16A","10.99"
"Famiglie Soave","750 ml.","Wine-19A","9.99"
"Barefoot Chardonnay 4 Pack","748 ml.","Wine Shop","6.99"
"Mulderbosch Rose","750 ml.","Wine-19A","10.99"
"Chateau Potensac, 2016","750 ml.","19A","32.99"
"Chateau Puygueraud, 2016","750 ml.","19A","18.99"
"Sterling Vintner's Meritage","750 ml.","Wine-16A","8.49"
"Vieux Maillet, 2016","750 ml.","19A","36.99"
"Fess Parker American Tradition Reserve Pinot Noir","750 ml.","Wine-16A","19.99"
"Fess Parker American Tradition Reserve Chardonnay","750 ml.","Wine Shop","17.99"
"Green Rows Willamette Valley Pinot Noir","750 ml.","Wine-16A","17.99"
"Cupcake Moscato d'Asti","750 ml.","Wine-18A","8.49"
"Clos Marsalette, 2016","750 ml.","19A","32.99"
"Castenet Entre deux Mers Blanc, 2017","750 ml.","19A","9.99"
"Tabuteau, 2016","750 ml.","19A","14.99"
"Chateau Haut Bessac Blanc","750 ml.","19A","12.99"
"Casa Santos Lima Lab Rose","750 ml.","Wine-19A","8.49"
"Glacial Till Riesling","750 ml.","Wine-17A","12.99"
"Josh Cellars Cabernet Sauvignon","375 ml.","Wine-16A","7.99"
"Josh Cellars Chardonnay","375 ml.","Wine Shop","6.99"
"La Lecciaia Sassarello","750 ml.","Wine-19A","14.99"
"Woodbridge Lightly Oaked Chardonnay","1.5 liter","Wine Shop","10.49"
"Chateau Pierre Moulin Sauvignon Blanc","750 ml.","19A","9.99"
"Bandit Pinot Grigio","1 liter","Wine-16A","7.99"
"Noble Vines 446 Chardonnay","750 ml.","Wine Shop","9.49"
"Gekkeikan Sake","750 ml.","Wine-18A","6.49"
"Noble Vines 667 Pinot Noir","750 ml.","Wine-16A","11.99"
"Chateau La Croix Carbonnieux Blanc, 2016","750 ml.","19A","22.99"
"Lan Extreme Crianza Rioja","750 ml.","Wine-19A","18.99"
"7 Deadly Zins Zinfandel","750 ml.","Wine-16A","12.99"
"Beaune Teurons 1er Cru Chevaliers De L'Arquebuse, 2016","750 ml.","19A","49.99"
"Dr Loosen Sparkling Riesling","750 ml.","Wine-19A","13.99"
"De Francs Les Cerisiers, 2016","750 ml.","19A","17.99"
"Stationmaster Red Blend","750 ml.","Wine-16A","19.99"
"Canoe Ridge The Expedition Merlot","750 ml.","Wine-16A","16.99"
"Cousino Macul Antiguas Reservas Cabernet Sauvignon","750 ml.","Wine Shop","11.99"
"La Pirouette, 2016","750 ml.","19A","13.99"
"Justin Paso Robles Cabernet Sauvignon","750 ml.","Wine-16A","20.99"
"Riunite Lambrusco, NV","1.5 liter","Wine-19A","7.99"
"Jacob's Creek Reserve Shiraz","750 ml.","Wine-19A","11.99"
"Chateau Ste Michelle Sauvignon Blanc","750 ml.","Wine-16A","9.99"
"Masciarelli Montepulciano d'Abruzzo","750 ml.","Wine-19A","10.99"
"Jip Jip Rocks Shiraz Cabernet","750 ml.","Wine-19A","15.99"
"Gnarly Head Gnarly Head Authentic Red","750 ml.","Wine-16A","8.49"
"Kendall-Jackson Kendall Jackson Grand Reserve Cabernet Sauvignon","750 ml.","Wine-16A","19.49"
"La Villette Viogner","750 ml.","19A","10.49"
"Bellini Cipriani","750 ml.","Wine-18A","12.99"
"Bonacchi Molino del Piano Chianti Riserva","750 ml.","Wine-19A","9.99"
"Ruffino Lumina Pinot Grigio","750 ml.","Wine-19A","8.29"
"El Enemigo Malbec","750 ml.","Wine-17A","24.99"
"Chateau Moulin D'Issan, 2016","750 ml.","19A","17.99"
"Masottina Cuvee Rose Sparkling","750 ml.","Wine-18A","12.99"
"Villa Jolanda St. Valentine Love You Spumante, NV","187 ml.","Wine-18A","4.29"
"Frey Natural White ORGANIC","750 ml.","Wine Shop","9.49"
"Duboeuf Duboeuf Beaujolais Villages","750 ml.","19A","9.99"
"Durigutti Carmela Malbec","750 ml.","Wine-17A","14.99"
"Excelsior Chardonnay","750 ml.","Wine-19A","7.49"
"Unshackled Cab Sauvignon","750 ml.","Wine-16A","22.99"
"Chateau Des Demoiselles Rose Cotes De Provence, 2019","750 ml.","19A","14.99"
"Chateau De Panigon, 2015","750 ml.","19A","14.99"
"Blenheim Vineyards Chardonnay","750 ml.","Wine-17A","15.99"
"Tolan Old Vines Verdejo","750 ml.","Wine-19A","12.99"
"The Homestead Collection Rose","750 ml.","Wine-16A","11.49"
"Sainte Anne Sauvignon Blanc","750 ml.","19A","9.99"
"Chateau Haut Brisson Lagrave, 2016","750 ml.","19A","19.99"
"Chateau Clos de L'Oratoire, 2014","750 ml.","19A","44.99"
"Michael David Winery Lodi Red Blend","750 ml.","Wine-16A","14.99"
"Le Lauriers du Terroir Vacqueyras","750 ml.","19A","14.99"
"Chateau Prelude de Marsau, 2015","750 ml.","19A","19.99"
"Chateau Vieux Chateau Lamothe Blanc","750 ml.","19A","9.99"
"Chateau Fontbonne, 2016","750 ml.","19A","9.99"
"Chateau D'Aigueville Massif d'Uchaux Cotes Du Rhone Villages","750 ml.","19A","14.99"
"Camaleao Vinho Verde","750 ml.","Wine-19A","10.99"
